employee_id,age,gender,department,years_of_experience,salary,performance_score,training_hours,job_satisfaction,last_promotion
1,56.0,,Marketing,,58195.0,4.0,14.0,,10.0
2,46.0,Male,Sales,,96192.0,7.0,30.0,3.0,0.0
3,32.0,Female,HR,12.0,45609.0,1.0,,5.0,3.0
4,60.0,Female,Sales,12.0,49535.0,1.0,12.0,2.0,6.0
5,25.0,Female,,4.0,34110.0,9.0,,1.0,3.0
6,38.0,Female,Finance,11.0,139518.0,6.0,20.0,3.0,7.0
7,,Female,IT,5.0,37207.0,5.0,3.0,4.0,6.0
8,36.0,Male,IT,13.0,92544.0,2.0,14.0,2.0,4.0
9,40.0,Male,Marketing,7.0,78637.0,2.0,20.0,2.0,9.0
10,28.0,Female,HR,7.0,63074.0,7.0,7.0,4.0,3.0
11,28.0,Female,Finance,6.0,71664.0,6.0,30.0,4.0,7.0
12,41.0,Female,IT,16.0,116412.0,8.0,9.0,,
13,53.0,Male,,20.0,104405.0,3.0,20.0,1.0,
14,57.0,Male,HR,10.0,127225.0,3.0,16.0,5.0,4.0
15,41.0,Male,,9.0,73872.0,5.0,4.0,1.0,
16,20.0,Male,IT,,42185.0,10.0,,1.0,
17,39.0,Male,,9.0,136706.0,4.0,20.0,5.0,8.0
18,,Female,Finance,20.0,50878.0,8.0,11.0,1.0,
19,41.0,Male,HR,13.0,31396.0,6.0,24.0,3.0,4.0
20,61.0,Female,,8.0,33460.0,8.0,27.0,4.0,
21,47.0,Male,HR,,132657.0,7.0,1.0,2.0,1.0
22,55.0,Female,Finance,6.0,81314.0,2.0,20.0,5.0,5.0
23,19.0,Male,IT,17.0,75389.0,9.0,40.0,1.0,5.0
24,38.0,Male,IT,15.0,124556.0,6.0,21.0,2.0,3.0
25,50.0,Male,Marketing,7.0,138776.0,6.0,1.0,,1.0
26,29.0,Other,Finance,,37676.0,2.0,29.0,1.0,7.0
27,39.0,Female,Marketing,18.0,67312.0,9.0,0.0,1.0,7.0
28,61.0,Male,Marketing,14.0,33148.0,1.0,12.0,1.0,
29,42.0,Male,Sales,14.0,42272.0,6.0,2.0,3.0,1.0
30,44.0,Female,Finance,5.0,96363.0,8.0,19.0,4.0,3.0
31,59.0,Male,IT,8.0,32655.0,2.0,4.0,2.0,0.0
32,45.0,Male,Finance,14.0,73105.0,3.0,1.0,1.0,5.0
33,33.0,Female,Sales,6.0,85863.0,10.0,25.0,,10.0
34,32.0,Female,Finance,7.0,91045.0,10.0,,,1.0
35,64.0,Male,Finance,17.0,75517.0,7.0,17.0,3.0,2.0
36,61.0,Male,Marketing,20.0,104227.0,1.0,,2.0,10.0
37,20.0,Female,Finance,15.0,73638.0,5.0,21.0,2.0,8.0
38,54.0,Male,Marketing,14.0,104789.0,6.0,27.0,1.0,6.0
39,24.0,Male,Marketing,2.0,,10.0,11.0,1.0,3.0
40,38.0,Female,HR,0.0,109089.0,,36.0,1.0,9.0
41,26.0,,Sales,12.0,84322.0,10.0,17.0,,0.0
42,56.0,Male,Marketing,11.0,,10.0,33.0,1.0,3.0
43,35.0,Other,,8.0,34222.0,7.0,2.0,3.0,9.0
44,21.0,Female,Marketing,1.0,121238.0,3.0,4.0,4.0,5.0
45,42.0,,Marketing,8.0,,7.0,22.0,2.0,7.0
46,31.0,Other,Marketing,7.0,40716.0,1.0,12.0,3.0,10.0
47,26.0,Male,IT,4.0,90644.0,4.0,23.0,5.0,8.0
48,43.0,Male,IT,12.0,118499.0,7.0,27.0,5.0,3.0
49,19.0,Female,,1.0,117424.0,7.0,16.0,5.0,5.0
50,37.0,,IT,9.0,99716.0,4.0,,2.0,1.0
51,45.0,Male,HR,5.0,31382.0,1.0,26.0,1.0,
52,64.0,Male,Marketing,6.0,92225.0,8.0,28.0,5.0,5.0
53,24.0,Male,HR,2.0,109898.0,4.0,11.0,5.0,8.0
54,61.0,Female,Finance,13.0,94347.0,2.0,,4.0,2.0
55,25.0,Female,Sales,15.0,34167.0,4.0,4.0,,
56,64.0,Other,HR,,147854.0,8.0,,2.0,10.0
57,52.0,Male,IT,7.0,147323.0,8.0,10.0,2.0,8.0
58,31.0,,IT,0.0,133849.0,5.0,3.0,4.0,8.0
59,34.0,Male,Finance,19.0,88373.0,2.0,,5.0,
60,53.0,Male,Marketing,14.0,149897.0,7.0,,4.0,4.0
61,57.0,Male,Sales,16.0,125823.0,3.0,15.0,1.0,
62,21.0,Female,,17.0,111117.0,6.0,1.0,5.0,
63,19.0,Female,Marketing,2.0,121730.0,9.0,40.0,2.0,4.0
64,23.0,Other,Marketing,5.0,78721.0,5.0,26.0,3.0,6.0
65,59.0,Male,HR,16.0,58823.0,9.0,11.0,4.0,5.0
